Nº,Project,MethodName,#Assrtions,#Conditions,#TryCatch,#Loop,#Throws,#Statements,#Tokens,#Hamcrest,#Mockito,#BadApi,#LOC,#Expressions,#Depth,#Vocabulary,#Understandability,#BodySize,#Dexterity,#NonWhiteCharacters
1,avro-release-1.8.2,TestSortedKeyValueFile.testNamedCodecs,1,0,0,1,1,10,243,0,0,0,54,144,13,47,1293,201,17,1060
2,avro-release-1.8.2,TestCompare.testNull,1,0,0,0,1,3,52,0,0,0,10,29,9,13,234,38,9,191
3,avro-release-1.8.2,TestLogicalType.testInvalidLogicalTypeIgnored,1,0,0,0,0,5,60,0,0,0,16,35,6,10,225,41,8,300
4,avro-release-1.8.2,TestDataFileTools.testWrite,4,1,0,2,1,19,224,0,0,0,74,124,9,41,1117,181,18,916
5,avro-release-1.8.2,TestSpecificCompiler.testManglingForEnums,2,0,0,0,1,6,73,0,0,0,19,45,8,20,310,57,9,389
6,avro-release-1.8.2,TestSchema.testNullNamespaceAlias,1,0,0,0,1,4,47,0,0,0,13,31,7,11,203,38,8,301
7,avro-release-1.8.2,TestNettyServer.testMixtureOfRequests,0,0,0,1,1,4,60,0,0,0,24,35,8,14,246,44,11,278
8,avro-release-1.8.2,TestByteBuffer.test,1,0,0,0,1,7,70,0,0,0,22,44,8,20,311,60,8,337
9,avro-release-1.8.2,TestUtf8.testByteConstructor,2,0,0,1,1,4,71,0,0,0,17,42,9,11,298,54,12,207
10,avro-release-1.8.2,TestDataFileRepairTool.testReportCorruptRecord,2,0,0,0,1,3,47,0,0,0,10,29,8,11,187,32,8,299
11,avro-release-1.8.2,TestSpecificCompiler.testCreateAllArgsConstructor,2,0,0,1,1,9,97,0,0,0,31,61,9,21,435,79,14,497
12,avro-release-1.8.2,TestBinaryDecoder.testSkipping,2,3,2,0,1,3,127,0,0,0,47,62,12,20,697,95,12,485
13,avro-release-1.8.2,TestIOBuffers.testSkipBoolean,1,0,0,0,1,7,74,0,0,0,22,45,8,20,309,58,8,314
14,avro-release-1.8.2,DataFileInteropTest.testGeneratedGeneric,0,0,0,0,1,3,52,0,0,0,13,27,13,14,316,45,10,268
15,avro-release-1.8.2,TestSchema.testEmptyRecordSchema,1,0,0,0,0,3,32,0,0,0,10,20,6,9,134,25,8,164
16,avro-release-1.8.2,TestSpecificBuilderTree.copyBuilder,18,0,0,0,0,25,456,0,0,0,76,251,10,36,1834,282,9,1828
17,avro-release-1.8.2,TestProtocolSpecific.testClient,0,0,0,1,1,1,143,0,0,0,38,81,11,32,793,108,13,596
18,avro-release-1.8.2,TestAvroKeyValueRecordWriter.testUsingReflection,5,0,0,0,1,25,351,0,1,0,76,191,10,64,1841,299,12,1606
19,avro-release-1.8.2,TestNonStringMapKeys.testNonStringMapKeys,10,0,0,1,1,30,449,0,0,8,104,262,11,59,2455,367,12,1797
20,avro-release-1.8.2,TestJsonDecoder.testReorderFields,2,0,0,0,1,9,87,0,0,0,28,52,6,19,356,68,8,489
21,avro-release-1.8.2,TestProtocol.testSplitProtocolBuild,3,0,0,0,0,10,139,0,0,0,31,84,9,20,616,108,9,633
22,avro-release-1.8.2,TestFixed.testFixedDefaultValueDrop,2,0,0,0,0,5,107,0,0,0,16,59,12,22,485,77,9,365
23,avro-release-1.8.2,TestSpecificCompiler.testConversionInstanceWithDecimalLogicalTypeEnabled,5,0,0,0,1,12,214,0,0,0,37,134,9,29,950,155,8,1211
24,avro-release-1.8.2,TestDataFileRepairTool.testReportCorruptBlock,2,0,0,0,1,3,47,0,0,0,10,29,8,11,187,32,8,297
25,avro-release-1.8.2,TestSpecificCompiler.testJavaUnbox,8,0,0,0,1,18,283,0,0,0,55,179,9,31,1307,212,8,1467
26,avro-release-1.8.2,TestJsonToFromBinaryFragmentTools.testMultiBinaryToNoPrettyJson,0,0,0,0,1,1,21,0,0,0,3,16,6,7,96,14,6,135
27,avro-release-1.8.2,TestReflect.testPrimitiveArrayBlocking,0,0,0,0,1,1,7,0,0,0,3,7,5,4,39,5,6,86
28,avro-release-1.8.2,TestDataFileRepairTool.testRepairAllCorruptRecord,2,0,0,0,1,4,70,0,0,0,13,41,8,13,278,45,8,406
29,avro-release-1.8.2,TestSpecificRecordBuilder.testBuilderPerformance,0,0,0,1,0,8,170,0,0,0,29,97,14,28,872,130,12,651
30,avro-release-1.8.2,TestLengthLimitedInputStream.testAvailable,2,0,0,0,1,4,42,0,0,0,13,26,7,10,159,30,8,175
31,avro-release-1.8.2,TestSequenceFileReader.testNonAvroMapper,0,0,0,0,1,10,138,0,0,0,31,78,10,34,649,106,8,583
32,avro-release-1.8.2,TestProtocolSpecific.testEmptyEchoBytes,1,0,0,0,1,4,35,0,0,0,13,23,6,11,145,28,8,169
33,avro-release-1.8.2,TestAvroMultipleOutputs.testAvroGenericOutput,21,0,0,5,1,62,1124,0,0,0,207,630,11,68,6622,806,15,4188
34,avro-release-1.8.2,TestBinaryEncoderFidelity.testBlockingBinaryEncoder,4,0,0,0,1,11,116,0,0,0,34,69,7,21,485,90,9,497
35,avro-release-1.8.2,TestSchemaCompatibility.testReaderWriterDecodingCompatibility,1,0,0,1,1,1,246,0,0,0,56,126,10,45,1501,193,13,1421
36,avro-release-1.8.2,TestSchemaBuilder.testUnionFieldBuild,0,0,0,0,0,1,190,0,0,0,3,102,48,29,2554,101,6,496
37,avro-release-1.8.2,TestSchemaCompatibility.testValidateSchemaPairMissingSecondField,1,0,0,0,1,4,77,0,0,0,13,50,9,20,379,64,10,543
38,avro-release-1.8.2,TestSchema.testNestedNullNamespaceReferencingWithUnion,1,0,0,0,0,5,102,0,0,0,16,60,9,18,436,71,8,443
39,avro-release-1.8.2,TestBZip2Codec.testBZip2CompressionAndDecompression,4,0,0,2,1,15,199,0,0,1,54,121,11,25,968,168,16,837
40,avro-release-1.8.2,TestSchemaBuilder.testNamesFailAbsent,0,0,0,0,0,1,13,0,0,0,3,12,6,7,67,8,6,118
41,avro-release-1.8.2,TestSpecificCompiler.testSchemaWithDocs,9,3,0,1,0,5,189,0,0,0,63,111,11,20,1033,140,14,790
42,avro-release-1.8.2,TestSpecificCompiler.generateGetMethod,19,0,0,0,0,50,1073,0,0,0,151,640,8,20,5639,737,10,4094
